id,word,meaning,day,week_start,date_sent
366,paradigm,a typical example or pattern of something,thursday,2025-05-26,2025-05-29
367,simmer,"slowly accumulating feelings that can grow strongly and become more serious, accrue",thursday,2025-05-26,2025-05-29
368,arbiter,a person who settles disputes,thursday,2025-05-26,2025-05-29
369,bstinate,unreasonably determined,thursday,2025-05-26,2025-05-29
370,resplendent,having a very beautiful appearance,thursday,2025-05-26,2025-05-29
371,modus vivendi,an arrangement allowing group of people with different beliefs work together,thursday,2025-05-26,2025-05-29
372,elaborate,"containing a lot of careful details, explicate",thursday,2025-05-26,2025-05-29
373,infallible,incapable of making mistakes or being wrong; always correct and reliable,thursday,2025-05-26,2025-05-29
374,consume,perfect or complete in every way,thursday,2025-05-26,2025-05-29
375,mutiny,an open rebellion against the proper authorities,thursday,2025-05-26,2025-05-29
376,ignoramus,an ignorant or stupid person,thursday,2025-05-26,2025-05-29
377,succour,give assistance or aid to,thursday,2025-05-26,2025-05-29
378,excapade,an act involving some danger,thursday,2025-05-26,2025-05-29
379,guile,clever but dishonest method to deceive someone,thursday,2025-05-26,2025-05-29
380,condescension,outward display making you think you are more important than others,thursday,2025-05-26,2025-05-29
381,reform,to make an improvement,friday,2025-05-26,2025-05-30
382,pervade,noticably spread throughout,friday,2025-05-26,2025-05-30
383,coarse,rough and not smooth,friday,2025-05-26,2025-05-30
384,whittle,remold something by cutting of little pieces of the object,friday,2025-05-26,2025-05-30
385,ingratiate,to try to get someone's approval by doing or saying things that will please them,friday,2025-05-26,2025-05-30
386,siphon,gradually or stealthily taking something away,friday,2025-05-26,2025-05-30
387,lascivious,expressing a strong desire for sexual ability,friday,2025-05-26,2025-05-30
388,rube,naive and inexperienced,friday,2025-05-26,2025-05-30
389,don,to put on,friday,2025-05-26,2025-05-30
390,gimmick,a trick or device intended to attract intention,friday,2025-05-26,2025-05-30
391,tirade,"a long, angry speech of criticism or accusation",friday,2025-05-26,2025-05-30
392,codify,"arrange into a systematic code, inherent into one's life",friday,2025-05-26,2025-05-30
393,galore,in abundance,friday,2025-05-26,2025-05-30
394,petulance,the quality of being easily annoyed,friday,2025-05-26,2025-05-30
395,machiavellian,"cunning, scheming to ruse, unscrupulous",friday,2025-05-26,2025-05-30
396,dote,Love someone completely and believe they're perfect,friday,2025-05-26,2025-05-30
397,delegate,a person sent to represent another,friday,2025-05-26,2025-05-30
398,tenet,a principle or belief,friday,2025-05-26,2025-05-30
399,cajole,persuade someone to do something by sustained coaxing,friday,2025-05-26,2025-05-30
400,repertoire,"a stock or collections of skills, techniques",friday,2025-05-26,2025-05-30
401,squelch,suppress,monday,2025-06-02,2025-06-02
402,lechery,show a strong sexual interest in someonemostly done by men,monday,2025-06-02,2025-06-02
403,ostinato rigore,relentless rigor,monday,2025-06-02,2025-06-02
404,resonance,when an idea synchroinzes without our experiences and believes,monday,2025-06-02,2025-06-02
405,egress,the act of leaving a place,monday,2025-06-02,2025-06-02
406,dissimulation,concealment of one's thought,monday,2025-06-02,2025-06-02
407,outright,completely or immediately,monday,2025-06-02,2025-06-02
408,prate,talk foolishly or at tedious length about something,monday,2025-06-02,2025-06-02
409,peculiar,unusual and strange,monday,2025-06-02,2025-06-02
410,innocuous,not harmful or hurtful,monday,2025-06-02,2025-06-02
411,deteriorate,become progressively worse,monday,2025-06-02,2025-06-02
412,pique,feeling resentful and irritated,monday,2025-06-02,2025-06-02
413,compulsive,relating to an irresistable urge,monday,2025-06-02,2025-06-02
414,anecdote,a short amusing story about a real incident or person,monday,2025-06-02,2025-06-02
415,run amok,behave uncontrollably and disruptively,monday,2025-06-02,2025-06-02
416,obscurity,the state of being completely alone,monday,2025-06-02,2025-06-02
417,foist,impose an unnecessary or unwelcoming shit on someone,monday,2025-06-02,2025-06-02
418,scoff,speak to someone or about something in a scornful or derisive or a mocking way,monday,2025-06-02,2025-06-02
419,caress,touch or stroke gently or lovingly,monday,2025-06-02,2025-06-02
420,servility,an excessive willingness to serve,monday,2025-06-02,2025-06-02
421,paucity,insufficient,tuesday,2025-06-02,2025-06-03
422,infantry,the part of an army that fights by foot,tuesday,2025-06-02,2025-06-03
423,renown,famous for something,tuesday,2025-06-02,2025-06-03
424,censure,express serious disapproval of something,tuesday,2025-06-02,2025-06-03
425,impetuosity,doing something outright neglecting possible outcome,tuesday,2025-06-02,2025-06-03
426,tranquil,"calm and peaceful and without noise, violence",tuesday,2025-06-02,2025-06-03
427,insurrection,an organized attempt to take down their government or ruler,tuesday,2025-06-02,2025-06-03
428,braggart,someone who talks excessively about themselves and their accomplishments,tuesday,2025-06-02,2025-06-03
429,farce,an event or situation that is absurd,tuesday,2025-06-02,2025-06-03
430,drivel,Silly nonsense: triviak or senseless talk or ideas,tuesday,2025-06-02,2025-06-03
431,egregious,outstandingly bad,tuesday,2025-06-02,2025-06-03
432,brevity,concise and exact use of words in writing or speech,tuesday,2025-06-02,2025-06-03
433,advocate,to publicly suggest an idea or support a way of doing something,tuesday,2025-06-02,2025-06-03
434,repast,a meal,tuesday,2025-06-02,2025-06-03
435,tumultuous,"making a large and confused noise, change or uncertainty",tuesday,2025-06-02,2025-06-03
436,venture,a new activity that involves risk and uncertainty,tuesday,2025-06-02,2025-06-03
437,raison d'etre,most important reason for someone or something's existence,tuesday,2025-06-02,2025-06-03
438,errant,behaving wrongly in some way,tuesday,2025-06-02,2025-06-03
439,perpetual,never ending or changing,tuesday,2025-06-02,2025-06-03
440,reproach,expressing disapproval or disappointment,tuesday,2025-06-02,2025-06-03
441,grandiose,pompous superiority especially pretentious,wednesday,2025-06-02,2025-06-04
442,complacent,showing smug or uncritical satisfaction with oneself or one's achievements,wednesday,2025-06-02,2025-06-04
443,relic,"an object, tradition or system from the past that continues to exist",wednesday,2025-06-02,2025-06-04
444,esteem,respect for a good opinion,wednesday,2025-06-02,2025-06-04
445,piecemeal,not done according to a plan,wednesday,2025-06-02,2025-06-04
446,obsequious,too eager to praise or obey someone,wednesday,2025-06-02,2025-06-04
447,barbarous,extremely cruel or unpleasant,wednesday,2025-06-02,2025-06-04
448,duress,threats used to force a person to do something,wednesday,2025-06-02,2025-06-04
449,bulwark,something that protects you during a maelstrom,wednesday,2025-06-02,2025-06-04
450,trifling,unimportant or trivial,wednesday,2025-06-02,2025-06-04
451,apt,having a tendency to do something,wednesday,2025-06-02,2025-06-04
452,malignant,evil in nature or effect,wednesday,2025-06-02,2025-06-04
453,harangue,an angry and agressive speech,wednesday,2025-06-02,2025-06-04
454,impious,showing a lack of respect for God or Religion,wednesday,2025-06-02,2025-06-04
455,improbable,not likely to happen or be true,wednesday,2025-06-02,2025-06-04
456,posterity,the people who will exist in the future,wednesday,2025-06-02,2025-06-04
457,primitive,relating to the early age humans living without machines,wednesday,2025-06-02,2025-06-04
458,bolster,to improve something or make it stronger,wednesday,2025-06-02,2025-06-04
459,inundate,overwhelm with things or people to be dealth with,wednesday,2025-06-02,2025-06-04
460,existing,"as a basic part of something, inherent",wednesday,2025-06-02,2025-06-04
461,aide,a person who assists a superior in carrying out their duties,thursday,2025-06-02,2025-06-05
462,Mmount,equivalent in serious to,thursday,2025-06-02,2025-06-05
463,parsimonious,very unwilling to spend money or use resources,thursday,2025-06-02,2025-06-05
464,pomp,vain and ostentatious display,thursday,2025-06-02,2025-06-05
465,discrepancy,a difference between two things that should be the same,thursday,2025-06-02,2025-06-05
466,overt,"done or shown openly, plainly transparent",thursday,2025-06-02,2025-06-05
467,sobriety,state of being sober,thursday,2025-06-02,2025-06-05
468,avow,assert or confess openly,thursday,2025-06-02,2025-06-05
469,devoid,"entirely lacking, freeform",thursday,2025-06-02,2025-06-05
470,countenance,approval of something or appearance of someone,thursday,2025-06-02,2025-06-05
471,idiosyncracy,a behaviour related to a specific individual,thursday,2025-06-02,2025-06-05
472,perk,an advantage or something extra,thursday,2025-06-02,2025-06-05
473,wean,to stop from being dependent on something,thursday,2025-06-02,2025-06-05
474,confer,to exchange ideas on a particular subject in order to reach an agreement,thursday,2025-06-02,2025-06-05
475,panacea,solution to all problems,thursday,2025-06-02,2025-06-05
476,bleak,"cold and miserable, gloomy and depressing",thursday,2025-06-02,2025-06-05
477,charlatan,a person falsely claiming to have a special knowledge or skill,thursday,2025-06-02,2025-06-05
478,solvent,having enough money to pay back all your debts,thursday,2025-06-02,2025-06-05
479,timid,shy and nervous,thursday,2025-06-02,2025-06-05
480,parasol,a light umbrella,thursday,2025-06-02,2025-06-05
481,prodding,encouraging or urging someone to take action,friday,2025-06-02,2025-06-06
482,indirection,a way of speaking or writing that avoids clearly mentioning something,friday,2025-06-02,2025-06-06
483,mesmerize,to have someone attention fully that they can't think of anything else,friday,2025-06-02,2025-06-06
484,antacid,a substance that neutralizes stomach acidity,friday,2025-06-02,2025-06-06
485,cohesion,the act of forming a united whole,friday,2025-06-02,2025-06-06
486,inoculate,becoming immune or build resistant,friday,2025-06-02,2025-06-06
487,allay,"to cause someone to feel an emotion less, to calm them down",friday,2025-06-02,2025-06-06
488,benevolence,kindness,friday,2025-06-02,2025-06-06
489,segacious,showing keen mental discernment and judgement,friday,2025-06-02,2025-06-06
490,alienated,inducing feeling of isolation,friday,2025-06-02,2025-06-06
491,reprieve,an official order that delays the punishment,friday,2025-06-02,2025-06-06
492,arrogant,unpleasantly proud and behaving as if you are more important than others,friday,2025-06-02,2025-06-06
493,wits,to use one intellect carefully,friday,2025-06-02,2025-06-06
494,fawn,praise someone too much that it seems fake,friday,2025-06-02,2025-06-06
495,Gaman,It means to show patience and perseverance when things go hard,friday,2025-06-02,2025-06-06
496,ferret,an assiduous search for something,friday,2025-06-02,2025-06-06
497,aversion,a strong dislike or disinclination,friday,2025-06-02,2025-06-06
498,immoderate,not sensible or restrained,friday,2025-06-02,2025-06-06
499,abstract,existing in thoughts or as an idea but not having concrete existence,friday,2025-06-02,2025-06-06
500,intimation,making what you think clear conspicuously,friday,2025-06-02,2025-06-06
